training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/step_time,time/total_time,time/steps_per_second,step
0.7497374,-2.9168978,0.008750693,1.0790205,0.9292357,0.7409867,-0.688552,1.0,0.050767116,0.7582331,-0.7607564,-1.8595195,0.5465238,-0.07060702,5.094655,0.9463543,-0.73002195,-1.8783025,0.0007527421,0.0040464604377746585,20.232304573059082,247.12952521963737,5000
0.66203743,-2.234342,0.0067030266,0.39646512,0.71092236,0.6553344,-0.46589255,1.0,0.010165348,0.9607859,-0.4702811,-1.3126912,0.11198744,-0.12107848,0.79382104,1.1535964,-0.4842563,-1.327541,6.1866604e-06,0.0017259097099304199,28.861870050430298,579.4043613360135,10000
0.30473047,-2.2028792,0.0066086375,0.3650021,0.52448213,0.29812184,-0.15635988,1.0,0.020282386,0.90376097,-0.14039701,-1.2361283,0.014876472,-0.20546354,1.1168337,0.7312925,-0.121075034,-0.9846382,2.4237024e-05,0.0017302752017974853,37.513274908065796,577.942506246673,15000
0.2283183,-2.3175192,0.0069525577,0.4796422,0.36206153,0.22136575,-0.08014824,1.0,0.008256098,1.1188289,-0.061023507,-0.63528526,0.019743612,-0.2508038,1.2031535,0.8078754,-0.06428616,-0.6103041,5.9551217e-05,0.0017459997653961183,46.243281841278076,572.7375441139123,20000
-0.21542928,-2.2769437,0.006830832,0.4390669,0.29751384,-0.2222601,0.06612568,1.0,0.006280469,1.0879416,0.05752904,-0.4140958,0.0704109,-0.011549317,0.4783064,0.706734,0.05178412,-0.44167632,6.94854e-06,0.0017587685585021974,55.03715205192566,568.5794276899638,25000
-0.25526205,-2.1078289,0.0063234866,0.26995182,0.33381963,-0.26158553,0.08732265,1.0,0.01566249,2.3984108,0.0699509,-1.5706087,0.19020122,-0.021119667,1.0376792,2.6262293,0.08191606,-1.5041707,2.0729673e-05,0.0024726099014282226,67.4002194404602,404.43082897200344,30000
-0.7636161,-2.1265492,0.006379648,0.28867227,0.26131034,-0.76999575,0.20120862,1.0,0.0024350877,4.1796336,0.2033082,-0.6038831,0.024266513,-0.036865026,0.28254962,4.1305113,0.20415342,-0.42948666,6.678233e-06,0.0018731380462646485,76.7659387588501,533.8632919244634,35000
-0.6818778,-2.1674914,0.0065024747,0.32961437,0.28190216,-0.68838024,0.19405657,1.0,0.017640427,2.2969859,0.19332871,-0.81407416,0.10048589,-0.08661899,0.5907397,2.5342956,0.1817399,-0.7327145,8.2634244e-05,0.001811873722076416,85.82534050941467,551.9146246538053,40000
-0.78990084,-2.103457,0.0063103708,0.26557982,0.25894246,-0.7962112,0.20617369,1.0,0.0162942,2.1478155,0.19620949,-0.58804864,0.12840915,-0.03345106,0.9803897,2.3241954,0.20749901,-0.56814134,3.206829e-05,0.0018000739097595215,94.8257405757904,555.5325388142611,45000
-0.8491056,-2.1000419,0.0063001253,0.26216483,0.24371386,-0.85540575,0.2084751,1.0,0.015522033,0.84696764,0.19578859,-0.83459663,0.13911295,-0.0100838635,0.6769017,0.79935914,0.20506366,-0.6242533,8.084073e-06,0.0018006564617156983,103.82905316352844,555.3527824772494,50000
-0.9776515,-2.0853462,0.006256039,0.2474692,0.2706598,-0.9839075,0.2663052,1.0,0.00088896323,1.1406536,0.2719896,-0.15482761,0.026389936,-0.10423082,0.36410478,1.1195157,0.2725845,-0.16900183,1.2089613e-06,0.002346567678451538,115.56192255020142,426.1542013269484,55000
-0.97833747,-2.0300162,0.0060900487,0.19213912,0.28076652,-0.9844275,0.2763953,1.0,0.03326243,2.5167212,0.28207278,-0.4973067,0.04096649,-0.13248375,0.5620617,2.7127938,0.2939167,-0.08346096,2.1584337e-05,0.0017816797256469726,124.47035098075867,561.2678627880097,60000
