visualization/mean_value,visualization/std_value,visualization/min_value,visualization/max_value,visualization/scale_mode,step
0.70619833,0.7485729,-1.1827732,2.0421386,dynamic,1
0.08849786,0.40485612,-0.9409589,1.1407424,dynamic,25000
0.3333886,0.6444989,-1.0829959,2.5786095,dynamic,50000
0.5639839,1.5084696,-2.0828776,5.6331434,dynamic,75000
0.15320042,1.610712,-3.2795503,3.838405,dynamic,100000
1.9108822,3.0026627,-8.758115,9.824864,dynamic,125000
1.491042,1.9427515,0.21131735,5.725142,dynamic,150000
1.0744916,1.4192432,0.113037735,4.7222967,dynamic,175000
0.87245023,1.1913131,0.10550556,6.869454,dynamic,200000
0.6118537,0.83828795,0.077172965,5.695997,dynamic,225000
0.4975684,0.70510614,0.06765982,3.5376754,dynamic,250000
0.3078058,0.42442828,0.050974365,1.4581794,dynamic,275000
0.19675589,0.25144812,0.034661006,0.81171143,dynamic,300000
0.119770214,0.14579338,0.0305649,0.56312364,dynamic,325000
0.08112799,0.09066372,0.014741884,0.36913753,dynamic,350000
0.06307044,0.06548567,0.018744648,0.2276712,dynamic,375000
0.050094575,0.047488675,0.016823882,0.15814328,dynamic,400000
0.040177077,0.04103897,0.013714179,0.16356741,dynamic,425000
0.03829248,0.043150503,0.0132936705,0.1995952,dynamic,450000
