visualization/mean_value,visualization/std_value,visualization/min_value,visualization/max_value,visualization/scale_mode,step
0.83744794,0.70236343,-0.9590536,2.0550299,dynamic,1
-0.13210328,0.29093438,-0.6199372,0.6552995,dynamic,25000
0.3217535,0.58449256,-0.96240306,3.0570674,dynamic,50000
0.25824112,0.36882502,-0.5162951,1.5563189,dynamic,75000
0.35689434,0.6209056,-0.2779185,2.4654062,dynamic,100000
0.34724602,1.3050898,-1.7697994,3.9800532,dynamic,125000
-0.26656148,2.3425899,-6.105095,3.9600441,dynamic,150000
-0.2223778,6.0140085,-11.206937,13.371984,dynamic,175000
0.11042404,5.8823824,-10.751151,13.471122,dynamic,200000
0.45714176,1.8549001,-4.3437634,5.5178223,dynamic,225000
0.27449593,3.204631,-6.443187,7.6744146,dynamic,250000
0.3029145,5.176016,-10.674756,11.894297,dynamic,275000
0.62329,3.2623165,-8.026571,8.803933,dynamic,300000
0.81365114,2.2038572,-6.718829,6.8499436,dynamic,325000
-0.3038827,1.212301,-4.077473,3.468228,dynamic,350000
