training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/step_time,time/total_time,time/steps_per_second,step
0.9283268,-2.602177,0.007806531,0.7642998,1.0461873,0.92052025,-0.9630375,1.0,0.013015196,0.71173793,-0.986268,-2.1649766,0.036072083,-0.051916286,0.67832017,0.8957786,-0.98614454,-2.1919572,9.394686e-06,0.004667837476730346,23.339190006256104,214.2319332569918,5000
0.8591634,-2.383654,0.007150962,0.54577696,0.8025638,0.85201246,-0.6837952,1.0,0.015545757,1.292582,-0.6947051,-1.6872882,0.019716978,-0.049649768,0.31753433,1.162565,-0.6976944,-1.5865391,3.812847e-06,0.0022042890071868894,34.36065483093262,453.6608828916157,10000
0.8332722,-2.3002968,0.0069008907,0.46241975,0.60769427,0.8263713,-0.50218195,1.0,0.0077909376,0.83398217,-0.50847006,-1.7044806,0.049180772,-0.021456737,0.29101333,0.7750326,-0.5082667,-1.3700854,2.3508433e-06,0.0021718628406524657,45.219993591308594,460.43410102355625,15000
0.6733354,-2.3845725,0.007153718,0.5466955,0.4410776,0.6661817,-0.2938385,1.0,0.014042113,0.9946759,-0.2915087,-1.6052896,0.01175126,-0.08842015,0.46770865,0.8522685,-0.2890143,-1.5380762,3.0917631e-06,0.0021792808055877684,56.11642670631409,458.86683859615306,20000
0.6191054,-2.31786,0.0069535803,0.47998297,0.31339556,0.6121518,-0.19184627,1.0,0.010847385,0.8487768,-0.2013285,-1.7409045,0.06805916,-0.012390481,0.36920562,0.37985203,-0.19101161,-0.62568885,1.944365e-06,0.002151060724258423,66.87175989151001,464.88675751555127,25000
0.22879983,-2.3864632,0.007159389,0.548586,0.2734695,0.22164045,-0.060612127,1.0,0.015918346,2.100179,-0.061023846,-1.6449683,0.05755128,-0.14461294,0.70805323,2.0293052,-0.05792021,-0.4462289,2.019387e-05,0.0027218156337738037,80.48086857795715,367.4017234394333,30000
-0.18005683,-2.3207393,0.006962218,0.4828622,0.26641637,-0.18701905,0.049825124,1.0,0.0073393825,3.3726468,0.04627735,-0.33208632,0.041054804,-0.07311436,0.41588277,2.8011675,0.04321331,-0.3363476,6.4224887e-06,0.0021921776771545412,91.44178247451782,456.16724519794246,35000
-0.35368448,-2.398232,0.007194696,0.560355,0.19156034,-0.36087918,0.069130495,1.0,0.010275515,4.301779,0.06560617,-0.22785358,0.077324316,-0.03438519,0.43728957,4.261805,0.07259451,-0.23016717,6.4676774e-06,0.0022656550407409667,102.7700777053833,441.37333725384195,40000
-0.40900227,-2.3093653,0.0069280965,0.47148845,0.14304355,-0.41593036,0.059496567,1.0,0.00961274,3.0428915,0.057404276,-1.3751538,0.020567138,-0.027070133,0.27068636,2.6743803,0.059253536,-0.7614247,1.0109591e-06,0.002210462713241577,113.8224196434021,452.39384205666073,45000
-0.622567,-2.2899716,0.006869915,0.45209455,0.11939277,-0.6294369,0.07515085,1.0,0.005862818,2.0565753,0.07142268,-1.0413862,0.040019527,-0.030363215,0.26107287,2.101571,0.07318814,-0.8125403,2.3974578e-06,0.0021605520725250242,124.62520027160645,462.8445218861368,50000
-0.53343403,-2.336565,0.0070096944,0.49868777,0.102075964,-0.5404437,0.055166855,1.0,0.012710781,1.5976858,0.05137598,-1.408407,0.054999534,-0.010520797,0.2329227,1.4201256,0.04972328,-1.1843015,1.4332493e-06,0.0028054067611694338,138.65225458145142,356.4544635317423,55000
-0.80062073,-2.3960438,0.007188131,0.5581666,0.09816334,-0.8078089,0.07929802,1.0,0.0050480096,0.9885393,0.08051403,-0.8936558,0.014344537,-0.022977773,0.19939223,0.8431297,0.08045435,-0.80961174,1.3070082e-06,0.0021987630367279053,149.6461009979248,454.80103116328,60000
-0.9588776,-2.3430395,0.007029118,0.50516236,0.14197448,-0.96590674,0.13713507,1.0,0.008414023,1.7475146,0.13272904,-0.5705395,0.040234,-0.006371158,0.21287102,1.4977272,0.13018736,-0.52607185,1.9208824e-06,0.0021830238819122313,160.56125378608704,458.0799823508918,65000
-0.9548,-2.3590164,0.0070770485,0.52113926,0.0984458,-0.96187705,0.09469372,1.0,0.0066695567,1.6898737,0.09491563,-0.68086827,0.023348238,-0.021339614,0.15311854,1.6246685,0.0955392,-0.51592994,1.239001e-06,0.0022328104972839354,171.72534728050232,447.8659368098637,70000
-0.92692554,-2.2781892,0.006834567,0.44031206,0.103503734,-0.9337601,0.09664859,1.0,0.0060953503,1.4655434,0.09831034,-1.1139227,0.013506068,-0.027624767,0.16976093,1.3837003,0.1010968,-0.4894202,5.137396e-06,0.0026717419624328613,185.0840883255005,374.2875354364995,75000
-0.9691385,-2.2727432,0.0068182293,0.43486616,0.1290797,-0.97595674,0.12597717,1.0,0.00689899,1.9423869,0.12183687,-0.7946091,0.07356833,-0.020831173,0.21024033,2.0926979,0.12419976,-0.2619673,1.6679326e-06,0.0028358129501342773,199.26319527626038,352.6324780096115,80000
-0.9772441,-2.2745528,0.0068236585,0.4366758,0.122464284,-0.98406774,0.12051413,1.0,0.007104231,2.629277,0.12181297,-0.20427077,0.015264798,-0.032914735,0.13381863,2.3005466,0.1209224,-0.2578744,8.2398157e-07,0.0022555068492889404,210.5407590866089,443.35920570672084,85000
-0.9905433,-2.2839184,0.006851755,0.4460414,0.1610379,-0.99739504,0.16061941,1.0,0.005574577,2.9162414,0.16188994,-0.33096445,0.022781778,-0.05379399,0.18006383,2.9049456,0.16355117,-0.073365085,6.9003295e-07,0.0022070213317871095,221.57590413093567,453.09923448199527,90000
-0.97132814,-2.1158302,0.0063474905,0.2779532,0.13790917,-0.9776756,0.13483141,1.0,0.007708782,2.3266065,0.13960946,-0.54419976,0.012058574,-0.04637173,0.21943693,2.1766834,0.13516116,-0.34420136,1.3063252e-06,0.002192121505737305,232.53654432296753,456.1789341265326,95000
-0.97275656,-2.0433497,0.00613005,0.20547289,0.11653117,-0.9788866,0.11407178,1.0,0.007951408,2.3481379,0.11632586,-0.590812,0.009255077,-0.026725924,0.13993597,2.2499743,0.11427738,-0.23931552,1.5587525e-06,0.0025557703971862793,245.31542944908142,391.271337434923,100000
-0.92996037,-2.0340233,0.00610207,0.1961463,0.097273156,-0.93606246,0.091054685,1.0,0.006222114,2.429512,0.09151017,-1.0589163,0.015856152,-0.05217813,0.20936233,2.452067,0.094833925,-0.43589413,8.923866e-06,0.0030427539348602296,260.5292329788208,328.64958302687586,105000
-0.7106674,-2.0053182,0.0060159545,0.16744107,0.13131346,-0.7166833,0.094110884,1.0,0.009012746,3.0393264,0.09219079,-1.0487243,0.04133357,-0.013590264,0.20026234,2.865652,0.09280147,-0.80903196,2.5580264e-06,0.0025356078147888185,273.2072937488556,394.38263065441316,110000
-0.7102905,-2.0067644,0.006020293,0.16888736,0.12220622,-0.7163108,0.08753835,1.0,0.004263292,3.9234023,0.08959615,-1.3773487,0.014875626,-0.041366078,0.14752552,3.7495809,0.091722764,-1.1560974,1.8600709e-06,0.0025990267276763917,286.20245480537415,384.7593078401035,115000
-0.8366191,-2.072894,0.006218682,0.23501708,0.17566252,-0.84283775,0.14805584,1.0,0.008718969,4.115769,0.1482712,-1.4678411,0.029744126,-0.01956743,0.13739854,4.041806,0.14804655,-1.0191679,1.74265e-06,0.002605136728286743,299.22815990448,383.8569134931777,120000
-0.6541094,-1.9968235,0.0059904703,0.1589464,0.142789,-0.66009986,0.094255656,1.0,0.008210786,3.8955994,0.09531995,-2.198646,0.0054575023,-0.019155487,0.12119177,3.8305662,0.09548201,-1.5922534,1.558288e-06,0.0025203934669494627,311.83016324043274,396.7632894669555,125000
-0.4253938,-2.0327492,0.006098248,0.19487211,0.16242756,-0.43149203,0.07008663,1.0,0.007988645,3.8931336,0.06896644,-2.310856,0.023573976,-0.011811968,0.14768693,3.8666062,0.07189391,-2.0901816,2.1504416e-06,0.0032727876663208007,328.19413208961487,305.5498324762701,130000
-0.08276597,-1.9598913,0.005879674,0.12201427,0.21584079,-0.088645644,0.019133434,1.0,0.006246478,4.1153564,0.015999569,-4.0581503,0.03295327,-0.009130653,0.19187286,4.1106477,0.020824548,-3.8209753,3.0118172e-06,0.002759689569473267,341.9926207065582,362.35946543049243,135000
-0.023914797,-1.956618,0.005869854,0.11874097,0.25102746,-0.029784651,0.0074767955,1.0,0.004824989,4.5080175,0.015759556,-5.082941,0.005999752,-0.095074646,0.26409107,4.003527,0.015267623,-5.0307593,9.358845e-06,0.0027064334869384764,355.5248236656189,369.48986204403576,140000
-0.036853,-1.9579983,0.005873995,0.120121345,0.2893753,-0.042726997,0.012364181,1.0,0.008524173,4.3723593,0.008011236,-5.9876227,0.031494882,-0.007475819,0.19158818,3.8802853,0.01069436,-5.9806266,5.312903e-06,0.002668876838684082,368.86924481391907,374.6893515304933,145000
0.10921178,-1.9608089,0.0058824266,0.12293188,0.31419504,0.10332935,-0.032465674,1.0,0.0048193927,3.9069836,-0.029642792,-6.201039,0.009770771,-0.025896665,0.2698199,3.9334052,-0.031669922,-6.049152,2.480928e-06,0.002639261341094971,382.0655906200409,378.89378189130287,150000
0.085134365,-1.9476638,0.0058429916,0.10978678,0.26940632,0.07929137,-0.021361679,1.0,0.002664544,3.5288463,-0.022411594,-5.879593,0.013781596,-0.012810759,0.1312558,3.8306262,-0.021306513,-5.784187,2.0099742e-06,0.0032103604316711426,398.11743783950806,311.4914209568121,155000
-0.07817384,-1.926436,0.005779308,0.088558905,0.36065197,-0.08395315,0.030277953,1.0,0.012970198,7.0210304,0.014281061,-6.8462725,0.0892771,-0.010233661,0.48199648,6.253399,0.017509505,-6.644466,2.7908793e-05,0.002565605306625366,410.94550228118896,389.7714363445204,160000
-0.118159704,-1.920613,0.0057618394,0.08273606,0.46689844,-0.12392154,0.057858903,1.0,0.016318858,9.6949005,0.05072391,-8.616225,0.058230415,-0.054278094,0.6765728,9.419173,0.0549772,-8.413443,1.0427308e-05,0.0026249595642089843,424.0703344345093,380.95815239132645,165000
0.22381876,-1.9380466,0.0058141397,0.10016954,0.6457294,0.21800463,-0.14077222,1.0,0.013766273,12.384489,-0.14519255,-10.672604,0.04553636,-0.038347013,0.5527631,12.118614,-0.13636154,-10.268923,1.32630175e-05,0.0026658591747283937,437.3996584415436,375.1134873055736,170000
