visualization/mean_value,visualization/std_value,visualization/min_value,visualization/max_value,step
-4.165552616119385,0.16177546977996826,-4.590214252471924,-3.474829912185669,1
-65.40604400634766,16.313045501708984,-89.24378967285156,-3.852248191833496,50000
-69.76441192626953,17.727628707885742,-94.88664245605469,-3.6902365684509277,100000
-70.72027587890625,17.780410766601562,-95.52259063720703,-4.917186737060547,150000
-71.35729217529297,17.768465042114258,-95.7114028930664,-0.10393848270177841,200000
-72.14463806152344,17.579912185668945,-95.65884399414062,-3.814960479736328,250000
-71.4560546875,17.755859375,-96.02584838867188,-1.301521897315979,300000
-72.17667388916016,17.604000091552734,-95.97743225097656,-0.06245708465576172,350000
-72.60709381103516,18.095857620239258,-95.57451629638672,-3.3529133796691895,400000
-72.25743103027344,17.053133010864258,-95.8768081665039,-0.31038898229599,450000
-72.17747497558594,17.400047302246094,-95.48858642578125,-3.4908447265625,500000
-71.95132446289062,17.843793869018555,-95.89154815673828,-1.650129795074463,550000
-72.1445083618164,17.68845558166504,-96.18717193603516,-3.3147449493408203,600000
-72.2859115600586,17.240463256835938,-95.80000305175781,-2.3450510501861572,650000
-72.82511901855469,17.013221740722656,-96.14315795898438,-6.989130020141602,700000
-73.30181884765625,16.657344818115234,-95.80038452148438,-0.08339563757181168,750000
-72.5706787109375,16.912553787231445,-96.3152847290039,-1.9707859754562378,800000
-72.9996109008789,17.098648071289062,-96.17550659179688,-1.9586405754089355,850000
