training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/step_time,time/total_time,step
4.627441,-4.239094,148.2076,309.23212,2.136432,-10.356059,0.23333481,1.0,183.89095,0.07897299,-7.7320576,0.09513731,1.0,0.051389504,-20.0696,-29.393368,0.4100262,0.008424405813217163,42.1220338344574,5000
5.994931,-6.1125793,163.7863,464.89566,3.455559,-9.824762,0.12707548,1.0,203.61517,0.17549932,-7.6982255,0.08667928,1.0,-0.0005493667,-33.992622,-54.30711,0.8298203,0.003625788736343384,60.250980377197266,10000
4.4015684,-4.1742916,135.12553,521.0861,4.133584,-9.649021,0.09192706,1.0,193.99586,0.0063582826,-7.6482706,0.07419059,1.0,0.12944788,-44.069885,-79.497696,2.4355726,0.0036465107917785645,78.48353695869446,15000
13.054077,-8.649375,243.56833,579.03357,5.0350423,-9.694103,0.10094376,1.0,256.95267,0.36577314,-7.630419,0.06972766,1.0,0.30677631,-54.380363,-103.85927,2.815781,0.003665769052505493,96.81238508224487,20000
4.2503486,-5.2278867,173.03665,628.44934,5.8072524,-9.65283,0.09268897,1.0,259.17123,0.43527633,-7.6170526,0.066386126,1.0,0.10666634,-62.727837,-126.54161,1.9780375,0.0036714774131774903,115.16977500915527,25000
10.489277,-8.34286,274.78064,610.9873,5.971366,-9.6531925,0.09276165,1.0,245.29984,0.3485846,-7.61322,0.06542808,1.0,0.21869993,-71.04753,-148.672,3.6532402,0.0036818288326263427,133.57892203330994,30000
7.915418,-10.058086,342.02042,624.2439,6.8025904,-9.654025,0.09292798,1.0,309.26822,0.6661234,-7.5955496,0.061010405,1.0,0.19270197,-79.035446,-170.60345,4.621978,0.003693545722961426,152.0466547012329,35000
167.98799,-131.71902,1815.8641,618.37305,6.8148875,-9.716273,0.10537763,1.0,284.0235,0.59115565,-7.6015797,0.062517904,1.0,0.50946003,-87.810165,-192.58083,6.5351253,0.0037044144630432128,170.5687301158905,40000
12.508149,-16.2198,392.3562,637.4732,7.1174827,-9.78772,0.11966689,1.0,272.6356,0.61672664,-7.582121,0.057653107,1.0,0.1526044,-91.08291,-214.69792,6.939762,0.0037078370094299315,189.10791993141174,45000
17.47662,-28.70267,611.894,658.9978,7.838008,-9.757163,0.11355543,1.0,292.30127,0.5075946,-7.6128893,0.065345414,1.0,1.6377456,-95.05681,-237.72696,7.9004793,0.003708707618713379,207.65146136283875,50000
20.622066,-14.450366,432.11453,652.4566,7.292035,-9.924694,0.14706169,1.0,292.91174,0.6145721,-7.5939198,0.06060282,1.0,0.75143147,-97.67982,-260.31567,6.6513987,0.004649917459487915,230.90105152130127,55000
55.945892,-37.694965,702.63043,645.98737,7.0325727,-9.853181,0.13275921,1.0,273.60492,0.3108116,-7.6017904,0.06257055,1.0,0.20813078,-106.417656,-284.9141,8.852497,0.003716267204284668,249.48239040374756,60000
26.644384,-21.880253,592.5161,676.3455,8.901455,-9.9585495,0.15383282,1.0,271.42368,0.24198177,-7.5928473,0.06033484,1.0,0.33417362,-100.30261,-309.2067,14.484996,0.0037343806266784667,268.154296875,65000
35.728542,-18.113676,606.84283,658.4094,8.810247,-9.762093,0.11454151,1.0,272.02032,0.51862925,-7.573949,0.05561021,1.0,0.29641408,-110.68901,-334.68774,10.497982,0.00374444522857666,286.87652611732483,70000
