training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/step_time,time/total_time,step
3.7972012,-2.633071,52.119034,530.3694,4.984207,-9.218826,0.005888188,1.0,15.639401,0.27234054,-1.8378772,9.5360275e-11,1.0,0.18507704,-9.899386,-27.243242,0.40853018,0.007660597991943359,38.30299258232117,5000
6.5874567,-5.9737835,143.57043,569.6356,7.3599415,-9.275425,0.0172079,1.0,23.769735,0.36789405,-1.8378772,3.6301934e-11,1.0,0.14420646,-15.68022,-45.470703,2.6499324,0.0035668041706085206,56.13701677322388,10000
4.66908,-4.620179,126.0988,592.2538,7.895541,-9.285839,0.019290814,1.0,29.129337,0.44344428,-1.8378772,1.184073e-11,1.0,0.0045764223,-20.263199,-59.99105,2.2310588,0.00358098464012146,74.04194259643555,15000
1.9381502,-3.3051705,62.75672,555.39026,7.6621137,-9.209673,0.0040575294,1.0,26.217674,0.39805526,-1.8378772,1.5577882e-13,1.0,0.25886765,-21.309258,-69.50084,1.3411294,0.0035919554233551027,92.00172257423401,20000
10.611089,-5.7540164,128.0021,559.82153,7.9483767,-9.220919,0.0063067162,1.0,28.734447,0.4023094,-1.8378772,2.954897e-10,1.0,0.1552048,-23.197605,-78.06436,4.4149675,0.003593829870223999,109.97087526321411,25000
5.680599,-9.502746,246.06511,552.366,7.834424,-9.207445,0.0036120364,1.0,28.398863,0.47456384,-1.8378772,1.4421407e-13,1.0,0.23109055,-23.832582,-84.51071,9.732514,0.004507632732391358,132.50904178619385,30000
6.4742146,-5.2057676,165.70079,579.9909,8.568918,-9.201412,0.0024054458,1.0,30.281006,0.44964963,-1.8378772,9.55505e-12,1.0,0.29102877,-25.916737,-90.02887,10.1640835,0.003587940979003906,150.4487500190735,35000
7.375067,-5.162335,114.15563,542.4127,8.278919,-9.201364,0.0023957093,1.0,25.995646,0.36355117,-1.8378772,1.1292741e-11,1.0,0.0667346,-24.731339,-94.11028,3.1825242,0.00358356671333313,168.36658692359924,40000
10.047224,-14.196283,262.68027,568.94434,8.529495,-9.205914,0.003305732,1.0,31.547915,0.50291765,-1.8378772,6.630897e-11,1.0,0.54234266,-25.803574,-97.35733,15.3742075,0.0035884280681610105,186.3087296485901,45000
4.651148,-8.266787,135.23145,554.03815,8.598925,-9.202717,0.0026662168,1.0,29.557808,0.45553616,-1.8378772,8.1210386e-13,1.0,0.13585165,-27.639357,-100.01126,5.1427007,0.003588363790512085,204.2505533695221,50000
17.268887,-9.823156,280.30954,561.5438,8.482697,-9.201612,0.0024453334,1.0,27.472792,0.37217253,-1.8378772,1.8957377e-14,1.0,0.38141835,-27.059914,-101.852806,9.110353,0.004538809299468994,226.9446029663086,55000
12.279289,-7.76297,229.39218,563.24786,8.75536,-9.20104,0.0023310166,1.0,33.925373,0.47986245,-1.8378772,7.52348e-12,1.0,0.2158844,-28.314987,-103.8743,8.851229,0.0035954603672027586,244.92190766334534,60000
