training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
1.0086211,-2.8737175,0.008621153,1.0358406,7.2696705,0.99999994,-7.2696705,1.0,0.57029116,0.0,-11.043611,-26.002878,0.7583463,-1.0775023,17.056322,-0.076795116,-10.546549,-25.255749,0.00977961,1.0086077,-2.8693056,0.0086079165,1.0314285,6.9062185,0.9999998,-6.9062185,1.0,0.6533368,0.0,-10.644175,-26.009796,0.013387038,-10.190672,-25.263208,0.009068001,0.005389005661010742,26.945040941238403,5000
1.0078082,-2.6027675,0.0078083035,0.76489055,9.857175,0.99999994,-9.857175,1.0,0.6053294,0.0,-16.160683,-42.74156,22.072063,-25.092905,254.14699,0.66653585,-15.720173,-42.163902,0.046106108,1.0074886,-2.508678,0.0075260345,0.6708011,10.084465,0.99996257,-10.084088,1.0,0.4789913,0.0,-16.9906,-42.725613,0.307351,-16.549465,-42.149,0.03920488,0.0020581473350524903,37.23578357696533,10000
1.0072923,-2.4313164,0.007293949,0.59343934,11.263037,0.99999833,-11.263019,1.0,0.47938237,0.0,-19.451488,-55.364166,25.262142,-22.232738,258.81058,0.3826781,-18.97668,-54.91355,0.045721054,1.0072224,-2.4074922,0.0072224764,0.56961524,11.319027,0.99999994,-11.319027,1.0,0.4348427,0.0,-18.40208,-55.34884,0.28405648,-17.932001,-54.899353,0.054843217,0.0026408205509185793,50.43989586830139,15000
1.0070633,-2.3625267,0.00708758,0.52464944,10.97416,0.9999757,-10.973894,1.0,0.75323427,0.0,-21.043549,-64.99157,8.471726,-11.441286,130.65802,0.34761617,-20.59645,-64.63413,0.03609655,1.0071096,-2.380456,0.0071413675,0.5425788,11.23614,0.9999683,-11.235785,1.0,0.7393378,0.0,-21.850801,-64.88402,0.40031606,-21.372307,-64.5326,0.03689206,0.0020878222942352295,60.87901282310486,20000
1.0070742,-2.3698475,0.007109543,0.5319705,11.435026,0.9999647,-11.434624,1.0,0.73204005,0.0,-21.190208,-72.29183,24.298504,-27.022837,227.47217,0.49243093,-20.72671,-72.00588,0.040709198,1.006923,-2.3381214,0.007014364,0.50024426,10.279409,0.9999086,-10.278471,1.0,0.5847912,0.0,-21.689243,-72.30748,0.62775683,-21.200886,-72.0197,0.041355725,0.0026086097717285157,73.9220666885376,25000
1.0069143,-2.3047867,0.006914361,0.46690983,10.915642,0.99999994,-10.915642,1.0,0.38917518,0.0,-22.441746,-77.54873,21.691103,-21.668018,244.74928,0.86220336,-21.9542,-77.3213,0.04249239,1.0069599,-2.3200278,0.0069600833,0.48215073,10.866353,0.9999999,-10.866353,1.0,0.30451292,0.0,-20.717312,-77.651024,1.3137953,-20.210423,-77.42076,0.04180646,0.002091073799133301,84.37744164466858,30000
1.0053139,-2.4633665,0.0073900986,0.6254893,10.403695,0.99792373,-10.382095,1.0,5.718622,0.0,-23.827398,-81.11259,58.143837,-30.365788,510.79712,1.7025763,-23.455976,-80.92397,0.2721062,1.0057546,-2.4203482,0.0072610443,0.58247113,9.386795,0.99849355,-9.372656,1.0,3.4850178,0.0,-23.23565,-80.90643,1.9855834,-22.853352,-80.71125,0.2241067,0.0026507256984710692,97.63107538223267,35000
1.0069778,-2.325959,0.006977877,0.48808196,11.185584,0.9999999,-11.185584,1.0,0.8814807,0.0,-24.091192,-84.62072,54.947132,-64.55907,534.50824,1.4634078,-23.638718,-84.45778,0.042721674,1.007018,-2.3616934,0.00708508,0.5238162,11.370379,0.99993294,-11.369618,1.0,0.56976867,0.0,-22.144505,-84.43427,0.86182106,-21.683254,-84.27706,0.045191243,0.002116003465652466,108.21109771728516,40000
1.0069224,-2.3074775,0.006922432,0.46960038,11.323935,0.9999999,-11.323935,1.0,0.7824319,0.0,-24.211426,-86.38937,82.14494,-72.753746,721.26447,0.5392049,-23.73236,-86.25886,0.04126071,1.0068878,-2.2959847,0.0068879537,0.4581076,11.708936,0.9999999,-11.708936,1.0,0.4849586,0.0,-24.671032,-86.53668,0.64172,-24.217003,-86.399155,0.042825192,0.0026400179386138916,121.41119241714478,45000
1.0069908,-2.3303025,0.0069909077,0.49242544,11.632678,0.99999994,-11.632678,1.0,0.7132738,0.0,-24.57256,-87.804054,68.43858,-70.37735,582.0493,0.67830664,-24.07086,-87.707466,0.04087346,1.0070492,-2.3542767,0.0070628296,0.5163995,11.548016,0.99998635,-11.547858,1.0,0.48063836,0.0,-22.122128,-87.79807,0.866114,-21.637356,-87.64781,0.034454525,0.002108905744552612,131.95572686195374,50000
