# Task	Agent	Seed	Alpha	Discount	RWSSubdir	RWSEpoch	ReachWeighting	ExtraArgs
antmaze-giant-navigate-v0	gcivl	0	10.0	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	gcivl	1	10.0	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	gcivl	2	10.0	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	gcivl	3	10.0	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	gcivl	4	10.0	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	gciql	0	0.3	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	gciql	1	0.3	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	gciql	2	0.3	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	gciql	3	0.3	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	gciql	4	0.3	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	-
antmaze-giant-navigate-v0	hiql	0	-	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-giant-navigate-v0	hiql	1	-	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-giant-navigate-v0	hiql	2	-	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-giant-navigate-v0	hiql	3	-	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-giant-navigate-v0	hiql	4	-	0.995	sd042_s_12899503.0.20251028_185615	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-giant-stitch-v0	gcivl	0	10.0	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	gcivl	1	10.0	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	gcivl	2	10.0	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	gcivl	3	10.0	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	gcivl	4	10.0	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	gciql	0	0.3	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	gciql	1	0.3	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	gciql	2	0.3	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	gciql	3	0.3	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	gciql	4	0.3	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	-
antmaze-giant-stitch-v0	hiql	0	-	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-giant-stitch-v0	hiql	1	-	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-giant-stitch-v0	hiql	2	-	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-giant-stitch-v0	hiql	3	-	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-giant-stitch-v0	hiql	4	-	0.995	sd042_s_12899749.0.20251028_191603	400000	adv	--agent.high_alpha=3.0 --agent.low_alpha=3.0
antmaze-large-explore-v0	gcivl	0	10.0	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	gcivl	1	10.0	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	gcivl	2	10.0	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	gcivl	3	10.0	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	gcivl	4	10.0	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	gciql	0	0.01	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	gciql	1	0.01	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	gciql	2	0.01	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	gciql	3	0.01	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	gciql	4	0.01	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	-
antmaze-large-explore-v0	hiql	0	-	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-large-explore-v0	hiql	1	-	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-large-explore-v0	hiql	2	-	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-large-explore-v0	hiql	3	-	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-large-explore-v0	hiql	4	-	0.99	sd042_s_12900048.0.20251028_193305	400000	adv	--agent.high_alpha=10.0 --agent.low_alpha=10.0
antmaze-large-navigate-v0	gcivl	0	10.0	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
antmaze-large-navigate-v0	gcivl	1	10.0	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
antmaze-large-navigate-v0	gcivl	2	10.0	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
antmaze-large-navigate-v0	gcivl	3	10.0	0.99	sd042_s_12899480.0.20251028_185404	400000	adv	-
